dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,700 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,1700 SQ FT flat for Rent in Gulshan near City Bank,/en/property/details-1872718.html,60000.0
"4,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,Visit this apartment for rent covering an area in Gulshan 1 near Standard Chartered Bank,/en/property/details-1869971.html,140000.0
"1,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"1500 Sq Ft Flat For Rent In Gulshan 1, Near Dhaka Bank Limited",/en/property/details-1869936.html,53000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"2000 Sq. Ft. apartment for rent is located at Gulshan 2, near to Aurora International School",/en/property/details-1869166.html,75000.0
"2,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Visit This Flat For Rent Covering An Area Of 2200 Sq Ft In Gulshan 2 Nearby Aurora International School,/en/property/details-1866978.html,80000.0
"3,050 sqft",4,5,Apartment,Dhaka,Gulshan,Gulshan 1,3050 SQ FT flat in Gulshan 1 is for rent near Gulshan 1 DCC Market,/en/property/details-1864823.html,100000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Available in Gulshan, is a 2500 SQ FT apartment for rent, near Gulshan 2 DCC market",/en/property/details-1859521.html,60000.0
"2,400 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,2400 Sq Ft Flat Is Now Available To Rent Nearby Bank Alfalah In Gulshan,/en/property/details-1857466.html,120000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Visit This Apartment For Rent In Gulshan 2 Near Uttara Bank Limited,/en/property/details-1856982.html,70000.0
"2,850 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Get Comfortable In A 2850 Sq Ft Flat For Rent In Gulshan 2 Nearby Scholastica School Gulshan,/en/property/details-1855091.html,90000.0
"2,583 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,At Gulshan flat for Rent close to EBL,/en/property/details-1854638.html,90000.0
"3,000 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,A Must See 3000 Sq Ft Apartment For Rent Is All Set For You In Gulshan 2 Near Gulshan Central Mosjid,/en/property/details-1854157.html,100000.0
"2,224 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,Offering You a 2224 Sq Ft Flat For Rent In Gulshan 2 Near Gulshan Central Mosjid,/en/property/details-1838418.html,70000.0
"3,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"3200 SQ Ft apartment is ready for rent at Gulshan, near United Hospital Limited",/en/property/details-1852392.html,100000.0
"3,700 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"At Gulshan 2, 3700 Sq Ft 3-bedroom Nice Flat Up For Rent Near Poland Embassy",/en/property/details-1850660.html,300000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,For rent covering an area of 2000 sq ft in gulshan 2 nearby wateraid bangladesh,/en/property/details-1848828.html,65000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,1800 SQ. FT. apartment located on Gulshan near to Canadian Trillinium School is waiting for you to make it home!,/en/property/details-1843685.html,100000.0
"2,250 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 1,Flat Near Gulshan Post Office For Rent In Gulshan,/en/property/details-1842682.html,60000.0
"2,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,Obtain Your New Residence At This 2500 Sq Ft Apartment Up For Rent At Gulshan 2 Nearby Shahabuddin Medical College And Hospital,/en/property/details-1840628.html,75000.0
"2,400 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Reside Conveniently In This Well Constructed 3 Bedrooms Flat For Rent In Gulshan 2, Near Plan International Bangladesh",/en/property/details-1837923.html,115000.0
"1,850 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Close To ENT Care Center, An Apartment Of 1850 Sq Ft For Rent Is Available In Gulshan 1.",/en/property/details-1833632.html,55000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Close to Embassy of the Russian Federation in the People's Republic of Bangladesh, a 1800 SQ FT apartment is available for rent in Gulshan",/en/property/details-1832045.html,50000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Reside Conveniently In This Well Constructed 3 Bedrooms Flat For Rent In Gulshan 2, Near High Commission Of Sri Lanka",/en/property/details-1832050.html,100000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A nice residential flat of 2000 SQ FT for rent can be found in Gulshan 2 nearby Embassy of North Korea,/en/property/details-1808042.html,70000.0
"1,952 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Create your home in a 1952 SQ FT flat for rent in Gulshan 2, near Manarat International University",/en/property/details-1807793.html,50000.0
"3,000 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 2,A rightly planned 3000 SQ FT flat is found for rent in Gulshan 2 nearby Rina Latif's Boutique,/en/property/details-1807211.html,200000.0
"2,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A 2200 Sq Ft Nice And Comfortable Flat Is Up For Rent In Gulshan Near To United Hospital Limited,/en/property/details-1806787.html,60000.0
"5,800 sqft",5,5,Apartment,Dhaka,Gulshan,Gulshan 1,In Gulshan 5800 SQ FT flat is available for Rent which is now close to Gulshan Shopping Center,/en/property/details-1806407.html,260000.0
"6,000 sqft",6,6,Apartment,Dhaka,Gulshan,Gulshan 1,A Nice Residential Flat Of 6000 Sq Ft For Rent Can Be Found In Gulshan 1 Nearby Dpdc Ict Head Office,/en/property/details-1806403.html,200000.0
"2,000 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Move in and inhabit this 2000 SQ FT properly constructed flat for rent in Gulshan 2, near Gulshan 2 DCC Market",/en/property/details-1804278.html,90000.0
"2,600 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"Move In And Inhabit This 2600 Sq Ft Properly Constructed Flat For Rent In Gulshan 2, Near Gulshan Central Mosjid",/en/property/details-1798065.html,70000.0
"4,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"We Have This Wonderful Apartment Covering 4500 Sq Ft In Total That You Have Been Looking For, This Flat For Rent Is Located In Gulshan 2 Near To Club Notredamians Bangladesh Limited",/en/property/details-1797145.html,210000.0
"1,650 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"In Gulshan 1 near to Children and Women Park, a 1650 SQ FT beautiful apartment is ready for rent.",/en/property/details-1796966.html,50000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,"Looking For Convenience? Well, Look No Further As We Have This 2500 Sq Ft Ready Flat For Rent At Gulshan 1 Nearby Nrb Global Bank Limited.",/en/property/details-1796705.html,75000.0
"2,500 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,"A Noteworthy Flat Up For Rent In Gulshan Central Masjid, Of 2500 Sq Ft Is Available And Open For New Tenants To Move In",/en/property/details-1776437.html,100000.0
"2,500 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"Get comfortable in a 2500 SQ FT flat for rent in Gulshan 2, near Gulshan Central Masjid",/en/property/details-1776436.html,120000.0
"2,720 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,Beautiful And Well-constructed 2720 Sq Ft Apartment Is Ready For Rent At Gulshan 1 Nearby Sea Breeze International School,/en/property/details-1781433.html,80000.0
"2,600 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"Start residing in this 2600 SQ FT, properly developed flat for Rent, in Gulshan 2, near Pink City Shopping Mall",/en/property/details-1778441.html,100000.0
"4,500 sqft",4,5,Apartment,Dhaka,Gulshan,Gulshan 2,4500 Sq Ft Apartment For Rent In Gulshan 2,/en/property/details-1778405.html,215000.0
"2,850 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 2,"Well built and properly designed residential flat of 2850 SQ FT in Gulshan 2 for rent, near Islami Bank Bangladesh Limited ATM",/en/property/details-1764553.html,140000.0
"1,850 sqft",2,2,Apartment,Dhaka,Gulshan,Gulshan 2,"Start A New Home, In This 1850 Sq Ft Flat For Rent In Gulshan 2, Near Mutual Trust Bank Limited",/en/property/details-1764547.html,75000.0
"2,400 sqft",4,3,Apartment,Dhaka,Gulshan,Gulshan 1,Offering You A Very Spacious 2400 Sq Ft Flat For Rent In Gulshan Near To Niketan Park,/en/property/details-1757239.html,100000.0
"1,550 sqft",3,4,Apartment,Dhaka,Gulshan,Gulshan 1,A luxurious 1550 SQ FT flat is up for rent in Gulshan near Chatogram Grammar School,/en/property/details-1755421.html,60000.0
"2,200 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 1,A 2200 Sq Ft Very Affordable Flat With Good Transportation Availability Is For Rent Close To Police Plaza At Gulshan,/en/property/details-1753199.html,75000.0
"4,700 sqft",6,5,Apartment,Dhaka,Gulshan,Gulshan 2,We Are Offering You A Very Spacious 4700 Sq Ft Flat For Rent In Gulshan Near To United Hospital,/en/property/details-1752697.html,250000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,1800 SQ FT fine flat is now for rent which is in Gulshan near to Gulshan Shopping Complex,/en/property/details-1752616.html,90000.0
"2,800 sqft",4,4,Apartment,Dhaka,Gulshan,Gulshan 1,A Luxurious Brand New 2800 Sq Ft Flat Is Up For Rent In Gulshan Near Cambrian College,/en/property/details-1735390.html,100000.0
"1,800 sqft",3,3,Apartment,Dhaka,Gulshan,Gulshan 2,A worthy 1800 SQ FT residential apartment is ready for rent at Gulshan area close to BAF Shaheen College,/en/property/details-1733309.html,60000.0
