dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,319 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,"A Great flat for renting purposes is available in Bashundhara R/A Block C, with a space of 1319 SQ FT, very close to Independent University Bangladesh",/en/property/details-1757166.html,25000.0
"1,860 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block B,A 1860 SQ FT full furnished flat is available for rent in Bashundhara R/A near to Oxford Foundation,/en/property/details-1758967.html,50000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,Have A Look At This 1400 Sq Ft Family Living Flat For Rent Located At Bashundhara R/a Near To Sapra Mosque,/en/property/details-1758311.html,26000.0
"1,600 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,In Bashundhara R/A 1600 SQ FT flat is available for rent which is now close to Intex Nilachal,/en/property/details-1757833.html,26000.0
"1,300 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,A rightly planned 1300 SQ FT flat is found for rent in Bashundhara R/A near Playpen School,/en/property/details-1757148.html,20000.0
"1,350 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,1350 SQ FT fine flat is now for rent which is in Bashundhara R/A near to Playpen School,/en/property/details-1756926.html,22000.0
"1,230 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,For rental purpose 1230 SQ FT flat is now up for rent in Bashundhara R/A close to IUB,/en/property/details-1757242.html,25000.0
"1,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Plan to move in this 1200 SQ FT flat which is for rent in Bashundhara R/A near to Playpen School,/en/property/details-1756942.html,24000.0
"1,600 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,Take A Look To An Impressive Flat Of 1600 Sq Ft For Rent Located At Bashundhara R/a Very Close To Oxford Foundation School,/en/property/details-1756432.html,30000.0
"1,610 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"Well developed Flat up for rent in Bashundhara R/A Block B near Prime Bank Limited, Bosundhara Branch. , of 1610 SQ FT",/en/property/details-1754969.html,35000.0
"1,550 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Modern 1550 Sq Ft Flat Is Up For Rent In Bashundhara R/a Near Playpen School,/en/property/details-1754190.html,25000.0
"1,450 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,1450 SQ FT fine flat is now for rent which is in Bashundhara R/A near to North South University,/en/property/details-1753869.html,22000.0
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block C,Sophisticated 1250 SQ FT flat is available for rent in Bashundhara close to Block C,/en/property/details-1750571.html,20000.0
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Well Developed Flat Up For Rent In Bashundhara R/a Near Jamuna Future Park, Of 1300 Sq Ft",/en/property/details-1749347.html,28000.0
