dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
750 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,750 Sq Ft Apartment For Rent In West Kazipara,/en/property/details-5309005.html,11000.0
"1,150 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,An 1150 SQ FT very reasonable medium flat is available for rent at Pirerbag,/en/property/details-4546470.html,15000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 2,A very beautiful 650 SQ FT residence is now available for rent in Mirpur 2,/en/property/details-3669632.html,12000.0
"1,000 sqft",2,2,Apartment,Dhaka,Mirpur,Pirerbag,Mirpur Is Offering You A 1000 Sq Ft Flat Ready To Rent,/en/property/details-4798011.html,10000.0
"1,050 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,"View This 1050 Sq Ft Flat Ready To Rent In Mirpur, Pirerbag",/en/property/details-5021596.html,16000.0
"1,000 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,1000 Sq Ft Flat Ready To Rent In Mirpur,/en/property/details-5021597.html,16000.0
960 sqft,3,2,Apartment,Dhaka,Mirpur,Pirerbag,"960 Sq Ft Flat Is Ready To Rent In Mirpur, Shimultola Road",/en/property/details-5021598.html,16000.0
"1,100 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,"Checkout This 1100 Sq Ft Flat Ready To Rent In Mirpur, Shimultola Road",/en/property/details-5021599.html,17000.0
"1,100 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,1100 Sq Ft Flat Ready To Rent In Mirpur,/en/property/details-5021607.html,17000.0
"1,000 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,"1000 Sq Ft Elegant Flat Is Ready To Rent In Mirpur, Pirerbag",/en/property/details-5021613.html,16000.0
960 sqft,3,2,Apartment,Dhaka,Mirpur,Pirerbag,"Mirpur, Pirerbag Is Offering You A 960 Sq Ft Flat Ready To Rent",/en/property/details-5021614.html,16000.0
"2,350 sqft",3,3,Apartment,Dhaka,Mirpur,Mirpur DOHS,"This Vacant Apartment Of 2350 Sq Ft Situated In Mirpur DOHS, Is Up For Rent",/en/property/details-4124113.html,30000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,"1100 Sq Ft Flat Is Available For Rent In Mirpur, Ahmed Nagar",/en/property/details-5105760.html,13000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,View This 1100 Sq Ft Flat For Rent In Mirpur,/en/property/details-5105765.html,13000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,Mirpur-1 Is Offering You A 1100 Sq Ft Flat For Rent,/en/property/details-5105770.html,13000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,Evaluate This 1100 Sq Ft Flat For Rent In Mirpur,/en/property/details-5105772.html,13000.0
720 sqft,2,2,Apartment,Dhaka,Mirpur,Section 7,A well-featured rental 720 SQ FT home is ready for you to own at Mirpur 7,/en/property/details-5327173.html,12500.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,Grab This 1100 Sq Ft Flat For Rent In Mirpur,/en/property/details-5105774.html,13000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,"1100 Sq Ft Flat Is Available For Rent In Mirpur, Ahmed Nagar",/en/property/details-5105777.html,13000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Ahmed Nagar,"1100 Sq Ft Flat For Rent In Mirpur, Ahmed Nagar",/en/property/details-5105780.html,13000.0
550 sqft,2,1,Apartment,Dhaka,Mirpur,Ahmed Nagar,A calming 550 SQ FT home is up at Paikpara at a very low price,/en/property/details-5305409.html,8000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,Make your residence in a 650 SQ FT rental home at Mirpur,/en/property/details-5309304.html,12000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,Comfortability All Around In This 650 Sq. Ft West Kazipara Flat Which Is Up For Rent.,/en/property/details-5309305.html,11000.0
"1,050 sqft",3,2,Apartment,Dhaka,Mirpur,Section 2,"1050 Sq Ft Flat Is Ready To Rent In Borobag, Mirpur-section 2",/en/property/details-5109155.html,18000.0
"1,100 sqft",3,3,Apartment,Dhaka,Mirpur,Kallyanpur,"1100 Square Feet Apartment Is Available For Rent In Mirpur, Kallyanpur",/en/property/details-5125480.html,20000.0
"1,100 sqft",3,2,Apartment,Dhaka,Mirpur,Pirerbag,Great Location! Check Out This 3 Bedroom Flat For Rent In West Pirerbag Close To Shimultoli Jame Mosque.,/en/property/details-5021595.html,17000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,Mirpur Is Giving You A 650 Sq Ft Flat To Rent Specifically In West Kazipara,/en/property/details-5180857.html,9000.0
750 sqft,2,2,Apartment,Dhaka,Mirpur,Kallyanpur,Your Desired Large 2 Bedroom Home In Kallyanpur Near To Kallayanpur Post Office Is Now Vacant For Rent,/en/property/details-3880029.html,10000.0
500 sqft,2,1,Apartment,Dhaka,Mirpur,Section 1,Check This 2 Bedroom Flat In Tolarbag For Rent Which Is Ready To Move In,/en/property/details-4132081.html,9000.0
600 sqft,2,1,Apartment,Dhaka,Mirpur,3rd Colony,"Start Your New Home, In This Reasonable And Comfortable 600 Sq. Ft Flat Which Is Up For Rent In Lalkuthi.",/en/property/details-4348143.html,9500.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 7,Close To Mollika Mosjid Market 650 Sq. Ft Flat For Rent In Mollika R/A,/en/property/details-5327146.html,11500.0
600 sqft,2,2,Apartment,Dhaka,Mirpur,Ahmed Nagar,There Is 2 Bedroom Apartment Up To Rent In The Location Of Paikpara Near By Bashir Uddin Adarsha School &amp; College.,/en/property/details-5327735.html,10000.0
800 sqft,2,2,Apartment,Dhaka,Mirpur,Middle Paikpara,Affordable And Wonderful Flat Is Up For Rent In Mirpur,/en/property/details-4554889.html,12000.0
"1,000 sqft",2,2,Apartment,Dhaka,Mirpur,Pirerbag,Affordable And Wonderful Flat Is Up For Rent In Mirpur,/en/property/details-4546464.html,12000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,West Kazipara,An Adequate Residence Is up For Rent In Mirpur With Satisfactory Price,/en/property/details-4404342.html,12000.0
700 sqft,2,2,Apartment,Dhaka,Mirpur,Section 1,An Adequate Residence Is up For Rent In Mirpur With Satisfactory Price,/en/property/details-4422079.html,12000.0
700 sqft,2,2,Apartment,Dhaka,Mirpur,3rd Colony,Your Desired Home In Mirpur Is Now Vacant For Rent,/en/property/details-4348068.html,12000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 2,Affordable And Wonderful Residential Apartment Is Up For Rent In Mirpur,/en/property/details-3669327.html,12000.0
650 sqft,2,2,Apartment,Dhaka,Mirpur,Section 13,650 Sq Ft Residential Apartment Is Available For Rent In Mirpur,/en/property/details-3326054.html,11000.0
