dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 13,"Reside Conveniently In This Well Furnished 1500 Sq Ft Flat For Rent In Uttara Sector 13, Near Uttara Adhunik Medical College And Hospital",/en/property/details-2021025.html,70000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,Beautiful And Well-constructed 900 Sq Ft Flat Is Ready To Rent At Uttara Sector 11.,/en/property/details-2021010.html,14000.0
800 sqft,2,3,Apartment,Dhaka,Uttara,Sector 13,800 Sq Ft Apartment For Rent Is Located On Uttara Near To Shanto-mariam University Of Creative Technology,/en/property/details-2021008.html,16000.0
"1,600 sqft",3,4,Apartment,Dhaka,Uttara,Sector 4,A Furnished Flat Of 1600 Sq Ft Is Now Available For Rent In Uttara Sec -4.,/en/property/details-2015453.html,70000.0
"1,500 sqft",3,4,Apartment,Dhaka,Uttara,Sector 6,A Nice And Medium Sized 1500 Sq Ft Residential Apartment Is Available For Rent At Uttara Near Uttara Rajuk Model College,/en/property/details-2016925.html,24000.0
"1,000 sqft",3,2,Apartment,Dhaka,Uttara,Sector 13,3 Bedroom Flat For Rent In Uttara Close To Uttara Thana,/en/property/details-2020137.html,17000.0
600 sqft,2,1,Apartment,Dhaka,Uttara,Sector 7,Ready 600 SQ FT flat is now to Rent in Uttara,/en/property/details-2020059.html,20000.0
"1,350 sqft",3,3,Apartment,Dhaka,Uttara,Sector 6,1350 Sq Ft Full Furnished Apartment For Rant In Uttara Near Kuwait Bangladesh Friendship Government Hospital,/en/property/details-2019960.html,40000.0
"1,650 sqft",3,3,Apartment,Dhaka,Uttara,Sector 7,"Start A New Home, In This, 1650 Sq Ft Flat For Rent In Uttara Close To Uttara High School And College",/en/property/details-2019533.html,30000.0
"2,000 sqft",3,3,Apartment,Dhaka,Uttara,Sector 4,For Renting 2000 Square Feet Flat Is Available In Uttara Near To Milestone School &amp; College,/en/property/details-2019489.html,40000.0
"1,050 sqft",2,2,Apartment,Dhaka,Uttara,Sector 5,At Uttara A Nice 1050 Sq. Ft Flat Up For Rent Near Lab One Hospital Ltd.,/en/property/details-2019178.html,14000.0
"1,400 sqft",3,4,Apartment,Dhaka,Uttara,Sector 14,1400 Sq Ft Ready Flat For Rent In Uttara Near Aeronautical College Of Bangladesh,/en/property/details-2018668.html,23000.0
300 sqft,1,1,Apartment,Dhaka,Uttara,Sector 14,Reasonable 300 SQ FT flat is available to Rent in Uttara,/en/property/details-2018658.html,7000.0
"1,450 sqft",3,3,Apartment,Dhaka,Uttara,Sector 13,Reasonable 1450 Sq Ft Flat Is Available To Rent In Uttara,/en/property/details-2017288.html,28000.0
950 sqft,2,2,Apartment,Dhaka,Uttara,Sector 12,"Choose your destination, 950 SQ FT flat which is available to Rent in Uttara, Road No 15",/en/property/details-2017621.html,15000.0
"1,200 sqft",3,3,Apartment,Dhaka,Uttara,Sector 13,"1200 Sq Ft 3 Bed An Apartment Is Ready For Rent At Uttara, Near Gausul Azam Jameh Mosjid",/en/property/details-2017971.html,25000.0
"1,500 sqft",3,3,Apartment,Dhaka,Uttara,Sector 13,A Rightly Planned 1500 Sq Ft Flat Is Found For Rent In Uttara Nearby Lubana General Hospital,/en/property/details-2017981.html,22000.0
"1,600 sqft",3,3,Apartment,Dhaka,Uttara,Sector 9,1600 SQ FT flat is now to rent which is in Uttara,/en/property/details-2017211.html,30000.0
"1,050 sqft",2,2,Apartment,Dhaka,Uttara,Sector 5,Reasonable 1050 SQ FT flat is available to Rent in Uttara,/en/property/details-2017309.html,14000.0
"1,700 sqft",3,3,Apartment,Dhaka,Uttara,Sector 3,This 1700 Sq. Ft. Flat Is Up For Rent Near Uttara Model Town Post Office In Uttara .,/en/property/details-2017103.html,25000.0
"1,300 sqft",3,3,Apartment,Dhaka,Uttara,Sector 3,3 Bedroom Nice Full Furnished Flat In Uttara Is Now For Rent Nearby Eastern Bank Limited .,/en/property/details-2017120.html,50000.0
"1,200 sqft",3,3,Apartment,Dhaka,Uttara,Sector 5,A Convenient 1200 Sq Ft Residential Flat Is Prepared To Be Rented At Uttara Sector 5.,/en/property/details-2017026.html,20000.0
"1,400 sqft",3,3,Apartment,Dhaka,Uttara,Sector 9,"A Comfy 1400 Sq Ft Dwelling For A Medium Family Is Here For Rent In Uttara, Right Close To Uttara Adhunik Hospital",/en/property/details-2016349.html,23000.0
"2,000 sqft",3,4,Apartment,Dhaka,Uttara,Sector 3,A Large Flat Including 3 Bedroom Is Ready To Rent In Uttara Near United College Of Aviation,/en/property/details-2016477.html,40000.0
"1,418 sqft",3,4,Apartment,Dhaka,Uttara,Sector 3,Near Carnival Public School 1418 Sq. Ft Flat For Rent In Uttara.,/en/property/details-2016602.html,32000.0
"1,600 sqft",3,4,Apartment,Dhaka,Uttara,Sector 3,"3 Bedroom, 4 Bathroom Apartment With A View Is Up For Rent In Uttara Nearby Carnival Public School",/en/property/details-2016558.html,30000.0
"1,540 sqft",3,3,Apartment,Dhaka,Uttara,Sector 12,Start Living In This Awesome Flat Of 1540 Sq Ft Located At Uttara Unoccupied For Rent Near Uttara Park,/en/property/details-2015870.html,27000.0
300 sqft,1,1,Apartment,Dhaka,Uttara,Sector 9,A Sensible 300 Sq Ft Single Bedroom Flat Is Vacant For Rent In Uttara,/en/property/details-2015165.html,12000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,A Beautiful Apartment Is Up For Rent At Uttara Near Shanto-mariam University,/en/property/details-1952304.html,16000.0
"1,100 sqft",3,3,Apartment,Dhaka,Uttara,Sector 13,Near Kacha Bazar 1100 Sq Ft Flat For Rent In Uttara,/en/property/details-1874148.html,17000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 11,900 Sq. ft Apartment Is For Rent In Uttara Close To Uttara West Police Station,/en/property/details-2014978.html,20000.0
"1,450 sqft",3,4,Apartment,Dhaka,Uttara,Sector 10,"An Apartment Is Ready For Rent At Uttara , Near 10 Number Sector Masjid.",/en/property/details-1940282.html,18000.0
"1,400 sqft",3,3,Apartment,Dhaka,Uttara,Sector 7,"In The Beautiful Neighborhood In Uttara ,Sector 7 A Flat Is Up For Rent",/en/property/details-2014625.html,30000.0
"1,700 sqft",3,3,Apartment,Dhaka,Uttara,Sector 7,1700 Sq Ft Flat Is Up For Rent At Uttara Near Uttara High School And College,/en/property/details-2014643.html,30000.0
"1,900 sqft",3,4,Apartment,Dhaka,Uttara,Sector 10,1900 Sq. Ft Residential Apartment For Rent In Uttara Near Iubat,/en/property/details-2014214.html,40000.0
"1,900 sqft",3,4,Apartment,Dhaka,Uttara,Sector 10,3 Bedroom Flat For Rent In Uttara Near Trust Bank Limited,/en/property/details-2014215.html,40000.0
"1,900 sqft",3,4,Apartment,Dhaka,Uttara,Sector 10,"1900 Sq Ft 3- Bedroom Flat For Rent In Uttara, Sector 10.",/en/property/details-2014216.html,50000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 13,For Rental Purpose This Nice Flat Is Now Available In Uttara Near Shanto-mariam University.,/en/property/details-2014246.html,17000.0
900 sqft,2,1,Apartment,Dhaka,Uttara,Sector 13,Check This Apartment Up For Rent At Uttara Near Gausul Azam Jame Masjid,/en/property/details-2014252.html,12000.0
"1,900 sqft",3,4,Apartment,Dhaka,Uttara,Sector 10,"In Uttara, A 3-Bedroom Apartment Can Be Found For Rent Near First Security Islami Bank Limited",/en/property/details-2014220.html,50000.0
500 sqft,1,1,Apartment,Dhaka,Uttara,Sector 13,A Rightly Planned 1 Bedroom Flat Is Found For Rent In Uttara Nearby Lubana General Hospital &amp; Uttara Cardiac Center,/en/property/details-2014247.html,10000.0
"1,550 sqft",3,4,Apartment,Dhaka,Uttara,Sector 7,Check This 1550 Sq. Ft Apartment Up For Rent At Uttara Very Near To Uttara High School and College.,/en/property/details-2013908.html,30000.0
700 sqft,2,2,Apartment,Dhaka,Uttara,Sector 6,900 Sq. Ft Flat For Rent In Uttara Near Mercantile Bank Limited,/en/property/details-2013862.html,16000.0
850 sqft,1,2,Apartment,Dhaka,Uttara,Sector 11,850 Sq Ft Flat Is Now Available For Rent Nearby Uttara Thana In Uttara,/en/property/details-2013681.html,28000.0
"1,400 sqft",3,4,Apartment,Dhaka,Uttara,Sector 9,At Uttara Nice Flat Up For Rent Near Uttara Adhunik Medical College And Hospital,/en/property/details-2013697.html,30000.0
850 sqft,2,2,Apartment,Dhaka,Uttara,Sector 13,"Near Kacha Bazar, Flat For Rent In Uttara",/en/property/details-2013395.html,18000.0
900 sqft,2,2,Apartment,Dhaka,Uttara,Sector 9,A Ready 900 Sq. ft Apartment For Rent In Uttara Near WASA Water Tank.,/en/property/details-2013361.html,16000.0
