dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price,unique_id
"1,650 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,Rent This 1650 Sq Ft Flat With The Availability Of Essential Homely Characteristics In Bashundhara R/A,https://www.bproperty.com/en/property/details-3864141.html,22000.0,3864141
"2,100 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,2100 Square Feet Residential Apartment To Rent In Bashundhara R/A,https://www.bproperty.com/en/property/details-3215110.html,45000.0,3215110
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Bringing you a 1150 SQ FT home for rent, in Bashundhara R-A",https://www.bproperty.com/en/property/details-3215915.html,25000.0,3215915
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Bringing you a 1150 SQ FT home for rent, in Bashundhara R-A",https://www.bproperty.com/en/property/details-3215917.html,25000.0,3215917
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Consider moving into this apartment of 1150 SQ FT in Bashundhara R-A for rent,https://www.bproperty.com/en/property/details-3215921.html,25000.0,3215921
"2,300 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,Consider moving into this apartment of 2300 SQ FT in Bashundhara R-A for rent,https://www.bproperty.com/en/property/details-3216766.html,55000.0,3216766
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"In An Ideal Location Of Bashundhara R-a, A 1150 Sq Ft Flat Is Ready To Rent",https://www.bproperty.com/en/property/details-3215920.html,25000.0,3215920
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,This Wonderful Flat Is Set For Rent With An Amazing Floor Plan Which Is 1150 Sq Ft In Bashundhara R-a,https://www.bproperty.com/en/property/details-3215916.html,25000.0,3215916
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,A Well-designed Lifestyle Destination With A Lovely View Is Now Waiting For You At Bashundhara R-a,https://www.bproperty.com/en/property/details-3215914.html,25000.0,3215914
"2,100 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,Be the dweller of this beautiful 2100 SQ FT residential property vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-5382181.html,32000.0,5382181
"2,000 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,With An Awesome Environment A 2000 Sq Ft Flat Is Vacant For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3640387.html,35000.0,3640387
"1,350 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Here Is A Available Flat Of 1350 Sq Ft Waiting For Rent At Bashundhara Near International School Dhaka,https://www.bproperty.com/en/property/details-3173718.html,22000.0,3173718
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Exquisite Flat For Rent In Bashundhara Nearby Islamic Research Center,https://www.bproperty.com/en/property/details-3173717.html,22000.0,3173717
"1,350 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Get Ready To Rent This Ideally Maintained 1350 Sq Ft Apartment Located In Bashundhara,https://www.bproperty.com/en/property/details-3173716.html,22000.0,3173716
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Express Your Individuality At This 1450 Sq Ft Apartment In Bashundhara R-a Nearby Islamic Research Center,https://www.bproperty.com/en/property/details-3639334.html,28000.0,3639334
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,1500 Sq Ft Flat With Good Features Is Available For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3067394.html,23000.0,3067394
"1,300 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,1300 SQ FT residential apartment is set to get rented sited at Bashundhara R-A,https://www.bproperty.com/en/property/details-3091514.html,22000.0,3091514
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,2100 Sq Ft Residential Apartment Is Set To Get Rented Sited At Bashundhara R-a,https://www.bproperty.com/en/property/details-3629626.html,45000.0,3629626
"1,420 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,Be the occupant of this 1420 SQ FT residential home vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3849417.html,27000.0,3849417
"1,345 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,"A well-featured rental 1345 SQ FT residential property is ready for you to own at Bashundhara R-A, Block F",https://www.bproperty.com/en/property/details-3849418.html,25000.0,3849418
"1,420 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,A well-featured rental 1420 SQ FT residential property is ready for you to own at Bashundhara R-A,https://www.bproperty.com/en/property/details-3849421.html,27000.0,3849421
"1,345 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,A well-featured rental 1345 SQ FT residential property is ready for you to own at Bashundhara R-A,https://www.bproperty.com/en/property/details-3849422.html,25000.0,3849422
750 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block F,A worthwhile 750 SQ FT residential home is ready for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-5013522.html,17000.0,5013522
"1,000 sqft",3,2,Apartment,Dhaka,Bashundhara R-A,Block I,Be the tenant of a 1000 SQ FT residential flat waiting to get rented at Bashundhara R-A,https://www.bproperty.com/en/property/details-3655830.html,19000.0,3655830
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block G,Find Your Desired Apartment At This Ready 800 Sq Ft Flat For Rent At Bashundhara R-a Close To Baitul Jannat Jame Mosque,https://www.bproperty.com/en/property/details-5377942.html,20000.0,5377942
"1,300 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,"Sophisticated Style! This 1300 Sq Ft Flat For Rent In Block A, Bashundhara R-a Is All About It",https://www.bproperty.com/en/property/details-3067051.html,28000.0,3067051
"1,435 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,A Comfortable And Convenient 1435 Sq. Ft House Is Ready For Rent At Bashundhara R-A-Block D.,https://www.bproperty.com/en/property/details-3639634.html,20000.0,3639634
"1,280 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block E,"This Residential Apartment Of 1280 Sq Ft Is Available For Rent In Bashundhara, Block E",https://www.bproperty.com/en/property/details-3771560.html,18000.0,3771560
"1,200 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,"Properly Designed This 1200 Sq Ft Apartment Is Now Up For Rent In Block F, Bashundhara R-a Nearby Ific Bank Limited",https://www.bproperty.com/en/property/details-4841496.html,23000.0,4841496
"1,200 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,"Built With Modern Amenities, Check This 1200 Sq Ft Flat For Rent At Block F, Bashundhara R-a Viquarunnisa Noon School And College",https://www.bproperty.com/en/property/details-4841495.html,23000.0,4841495
"1,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,"Seize The Opportunity To Rent This Wonderful 1200 Sq Ft In Bashundhara, Block D",https://www.bproperty.com/en/property/details-3215276.html,25000.0,3215276
"1,200 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,Check This Cozy And Nice Flat Just What You Are Looking For In A Home At Bashundhara R-a Close To Viquarunnisa Noon School And College,https://www.bproperty.com/en/property/details-4841492.html,23000.0,4841492
"1,200 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,"Express Your Individuality At This 1200 Sq Ft Apartment At Block F, Bashundhara R-a",https://www.bproperty.com/en/property/details-4841494.html,23000.0,4841494
"1,800 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,Obtain This Well Fitted Flat Of 1800 Sq Ft Which Is Up For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-5244418.html,25000.0,5244418
"1,200 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block F,"This Flat In Block F, Bashundhara R-a Is Up For Rent With An Area Of 1200 Sq. ft",https://www.bproperty.com/en/property/details-4841486.html,23000.0,4841486
"1,100 sqft",2,2,Apartment,Dhaka,Bashundhara R-A,Block D,1100 Square Feet Full Furnished Apartment Is Up For Rent In Bashundhara R/a,https://www.bproperty.com/en/property/details-5334761.html,45000.0,5334761
"1,800 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,Tastefully Designed this 1800 SQ FT flat is now vacant for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-4480676.html,40000.0,4480676
"1,700 sqft",4,3,Apartment,Dhaka,Bashundhara R-A,Block B,"Offering You 1700 Sq Ft Apartment For Rent In Bashundhara, Block B",https://www.bproperty.com/en/property/details-3125783.html,25000.0,3125783
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block H,Ready convenient flat of 1450 SQ FT is up for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-4191136.html,25000.0,4191136
"2,000 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,"Looking For Flat To Rent In Bashundhara, Block J? Check This One Which Is 2000 Sq Ft",https://www.bproperty.com/en/property/details-5001342.html,35000.0,5001342
"2,000 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,Sophisticated Style! This 3 Bedroom Flat For Rent In Bashundhara Is All About It,https://www.bproperty.com/en/property/details-5001343.html,35000.0,5001343
"2,000 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,Properly Designed This 2000 Sq Ft Apartment Is Now Up For Rent In Bashundhara R-a Close To Playpen School,https://www.bproperty.com/en/property/details-5001341.html,35000.0,5001341
"2,000 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,"2000 Sq Ft Modern Flat With Good Accommodations Is Up For Rent In Bashundhara R-a, Block J",https://www.bproperty.com/en/property/details-5001344.html,35000.0,5001344
"2,000 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,Great Location! Check Out This 2000 Sq Ft Flat For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-5001340.html,35000.0,5001340
"1,425 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,Affordable and beautiful flat is up for rent in Bashundhara R-A which is 1425 SQ FT,https://www.bproperty.com/en/property/details-3215852.html,25000.0,3215852
"1,750 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,Get This Well Defined 1750 Sq Ft Flat For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3626763.html,30000.0,3626763
"2,880 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,"Your Desired 2880 Sq Ft Apartment In Bashundhara, Block C Is Now Available For Rent",https://www.bproperty.com/en/property/details-3091395.html,48000.0,3091395
"1,400 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block G,"3 Bedroom Adequate Living Flat Is Up For Rent In Bashundhara, Block G With Satisfactory Price",https://www.bproperty.com/en/property/details-3220371.html,27000.0,3220371
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,"Sophisticated Style! This Flat For Rent In Block G, Bashundhara R-a Is All About It",https://www.bproperty.com/en/property/details-3846714.html,24000.0,3846714
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,Tastefully Designed This Apartment Is Now Vacant For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3846713.html,24000.0,3846713
"1,800 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,"Your Desired 3 Bedroom Apartment In Block C, Bashundhara Is Now Available For Rent",https://www.bproperty.com/en/property/details-3867535.html,30000.0,3867535
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,Checkout This 820 Square Feet Residential Apartment Ready To Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-5367849.html,20000.0,5367849
"1,400 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,1400 Square Feet Residential Apartment Is Ready To Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3066914.html,27000.0,3066914
"1,873 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block B,"1873 Sq Ft Flat Is Available For Rent In Bashundhara R-a, Block B",https://www.bproperty.com/en/property/details-3125154.html,35000.0,3125154
"1,800 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block C,View This Wonderful 1800 Sq Ft Flat Available For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3867536.html,30000.0,3867536
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,1500 Sq Ft Ready Flat For Rent In Bashundhara Residential Area With Wonderful Home Amenities,https://www.bproperty.com/en/property/details-3580765.html,23000.0,3580765
"1,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,"1100 Sq Ft Flat Available For Rent In Bashundhara R-a, Block F",https://www.bproperty.com/en/property/details-4821914.html,30000.0,4821914
"1,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,"1100 Sq Ft Flat Available For Rent In Bashundhara R-a, Block F",https://www.bproperty.com/en/property/details-4821916.html,21000.0,4821916
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,"Looking for a nice flat to rent in Bashundhara R-A, check this one which is 820 SQ FT",https://www.bproperty.com/en/property/details-5367846.html,20000.0,5367846
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,"Looking for a nice flat to rent in Bashundhara R-A, check this one which is 820 SQ FT",https://www.bproperty.com/en/property/details-5367844.html,20000.0,5367844
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,Find 820 SQ FT nice apartment available to Rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-5367845.html,20000.0,5367845
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,Find 820 SQ FT nice apartment available to Rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-5367847.html,20000.0,5367847
820 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Bashundhara Road,Properly designed this 820 SQ Ft flat is now up for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-5367848.html,20000.0,5367848
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,This 1400 sq. ft home will ensure your good quality of living in Bashundhara R-A,https://www.bproperty.com/en/property/details-3097354.html,25000.0,3097354
"2,100 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,When Location and Convenience is your priority this home is for you which is 2100 SQ FT for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3838700.html,25000.0,3838700
"1,150 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block I,"1150 Sq Ft Apartment Is Up For Rent At Your Convenient Location Of Bashundhara, Block I",https://www.bproperty.com/en/property/details-4251915.html,21000.0,4251915
"2,200 sqft",3,5,Apartment,Dhaka,Bashundhara R-A,Block F,Well Defined And Nice Living Space Of 2200 Sq Ft Is Up For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-4821919.html,40000.0,4821919
"1,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,"This Apartment Is Now Vacant For Rent In Block F, Bashundhara R-a",https://www.bproperty.com/en/property/details-4821918.html,20000.0,4821918
"1,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,Live In This Well Designed Flat Of 1100 Sq Ft Which Is Up For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-4821917.html,21000.0,4821917
"2,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Take A Look On This 2500 Square Feet Fully Furnished Apartment Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3506713.html,75000.0,3506713
"1,600 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,Affordable And Wonderful Residential Apartment Is Up For Rent In Bashundhara R-a Near Bank Asia Limited,https://www.bproperty.com/en/property/details-3461354.html,30000.0,3461354
"1,600 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,"Looking For A Peaceful Residence To Rent In Bashundhara R-a, Check This 1600 Sq Ft Apartment",https://www.bproperty.com/en/property/details-3461353.html,30000.0,3461353
"1,600 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,Are You Looking For A Residence Which Is Your Dreams As! Check This One In Bashundhara R-a,https://www.bproperty.com/en/property/details-3461351.html,30000.0,3461351
"1,700 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,"Choose your destination, 1700 SQ FT apartment which is available to Rent in Bashundhara R-A",https://www.bproperty.com/en/property/details-3825911.html,30000.0,3825911
"1,600 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,Picture yourself in this residential apartment of 1600 SQ FT for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3461352.html,30000.0,3461352
"1,600 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,A budget friendly 1600 SQ FT residential flat is ready for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3461350.html,30000.0,3461350
"3,500 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block A,Spaciously Designed And Strongly Structured This Apartment Of 3500 Sq Ft Is Up For Rent In Bashundhara,https://www.bproperty.com/en/property/details-5361596.html,70000.0,5361596
"2,000 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block J,A 4 Bedroom And 2000 Sq Ft Properly Developed Flat For Rent In Bashundhara R-A-Block J .,https://www.bproperty.com/en/property/details-4898453.html,30000.0,4898453
"1,225 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,1225 Sq Ft Apartment Tailored To Your Highest Standards At Bashundhara R-a,https://www.bproperty.com/en/property/details-3082266.html,22000.0,3082266
"1,223 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block D,Well Defined And Nice Living Space Of 1223 Sq Ft Is Up For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3082262.html,25000.0,3082262
"3,000 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block C,"Find Your Desired Apartment At This 3000 Sq Ft Ready Flat For Rent At Block C, Bashundhara R/a.",https://www.bproperty.com/en/property/details-1778459.html,75000.0,1778459
"1,900 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,"With An Availability Of Essential Civic Needs, This 1900 Sq. Ft Flat At Bashundhara R-A-Block J Is Promising You A Refined Form Of Lifestyle.",https://www.bproperty.com/en/property/details-4933705.html,30000.0,4933705
375 sqft,1,1,Apartment,Dhaka,Bashundhara R-A,Block C,"Amazing Studio Apartment Of 375 Sq Ft Is Up For Rent And Located In The Wonderful Neighborhood Of Block C, Bashundhara",https://www.bproperty.com/en/property/details-5011079.html,20000.0,5011079
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block G,In This Serene Neighborhood Of Bashundhara R-a A Flat Is Up For Rent,https://www.bproperty.com/en/property/details-3847046.html,30000.0,3847046
"2,100 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block F,Tastefully Designed This 2100 Sq Ft Apartment Is Now Vacant For Rent In Bashundhara R-a,https://www.bproperty.com/en/property/details-3648863.html,36000.0,3648863
"2,270 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,"Looking For A Peaceful Residence To Rent In Bashundhara R-a, Check This One",https://www.bproperty.com/en/property/details-3638582.html,40000.0,3638582
"2,100 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,Tastefully Designed this 2100 SQ FT flat is now vacant for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-5225016.html,60000.0,5225016
"1,750 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,Plan to move in this 1750 SQ FT flat which is up to Rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3210169.html,25000.0,3210169
"1,450 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,Affordable and nice flat is up for rent in Bashundhara R-A which is 1450 SQ FT,https://www.bproperty.com/en/property/details-3225362.html,25000.0,3225362
"1,400 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block C,1400 SQ FT flat is now available to Rent nearby Masjid in Bashundhara R-A,https://www.bproperty.com/en/property/details-5358882.html,30000.0,5358882
"1,800 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block J,Are You Looking For A Residence Which Is Your Dreams As! Check This One In Bashundhara R-a,https://www.bproperty.com/en/property/details-4933668.html,30000.0,4933668
"1,800 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block J,Experience The Ultimate Luxury Lifestyle Here In This Bashundhara R-a Home,https://www.bproperty.com/en/property/details-4933667.html,30000.0,4933667
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,Be the resident of a 1500 SQ FT residential flat waiting to get rented at Bashundhara R-A,https://www.bproperty.com/en/property/details-3067406.html,30000.0,3067406
"3,536 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block C,"Bashundhara R-A, Block C Is Offering You A 3536 Square Feet Residential Apartment For Rent",https://www.bproperty.com/en/property/details-3268331.html,79000.0,3268331
